Date_time,No.of Black_listed_IPs
2017-05-20_0415,29109
2017-05-22_2145,29172
2017-05-23_2230,28986
2017-05-23_2300,28986
2017-05-24_2215,29014
2017-05-25_2245,28954
2017-05-30_1500,29057
2017-05-30_2300,28736
2017-05-31_2215,28718
2017-06-01_2145,28793
2017-06-02_2200,28824
2017-06-05_2200,28961
2017-06-06_2145,28968
2017-06-07_2200,28855
2017-06-08_2215,29045
2017-06-09_2200,28865
2017-06-12_2215,28874
2017-06-13_2200,28900
2017-06-14_2200,29032
2017-06-15_2330,28906
2017-06-16_1615,28881
2017-06-16_2215,28881
2017-06-19_2200,28902
2017-06-20_2200,28900
2017-06-21_2200,29047
2017-06-22_2145,28912
2017-06-23_2200,29018
2017-06-26_2145,17351
2017-06-27_2345,17452
2017-06-28_2215,17427
2017-06-29_2200,17340
2017-06-30_0000,17340
2017-06-30_2115,17386
2017-07-05_2130,17419
2017-07-06_2300,17473
2017-07-07_2315,17333
2017-07-10_2300,17347
2017-07-11_2230,17252
2017-07-12_2215,17244
2017-07-13_2245,17195
2017-07-14_2130,17166
2017-07-17_2145,17045
2017-07-18_2200,17499
2017-07-19_1415,17084
2017-07-19_2215,17084
2017-07-20_2145,17056
2017-07-21_2145,15917
2017-07-24_1845,17020
2017-07-24_2145,17020
2017-07-25_2245,17123
2017-07-26_2200,17027
2017-07-27_2145,17148
2017-07-30_2200,17140
2017-07-31_2215,16966
2017-08-01_2130,17045
2017-08-02_2245,17025
2017-08-03_2130,17249
2017-08-04_2130,17158
2017-08-08_0200,17110
2017-08-08_2245,17106
2017-08-09_2115,17189
2017-08-09_2130,17189
2017-08-10_2045,17111
2017-08-11_2230,17063
2017-08-14_2115,17141
2017-08-15_2130,17245
2017-08-16_2100,17230
2017-08-17_2345,17166
2017-08-18_2130,17134
2017-08-21_2145,17085
2017-08-22_2115,17100
2017-08-24_0115,17007
2017-08-24_2115,17040
2017-08-28_2130,16918
2017-08-29_2215,16997
2017-08-30_2130,17019
2017-08-31_2115,16983
2017-09-01_2115,17084
2017-09-05_2130,17214
2017-09-06_2115,17296
2017-09-08_1330,17266
2017-09-08_2115,17159
2017-09-11_2215,17291
2017-09-12_2115,16016
2017-09-12_2245,16016
2017-09-13_2130,16196
2017-09-15_1630,17289
2017-09-15_2200,17317
2017-09-18_2145,17242
2017-09-19_2145,17354
2017-09-21_1445,17272
2017-09-22_1600,16678
2017-09-22_1715,15915
2017-09-22_2145,15915
2017-09-25_2245,17242
2017-09-25_2315,17242
2017-09-27_0015,16429
2017-09-28_1745,17404
2017-09-28_2130,15974
2017-09-29_2315,16596
2017-10-02_2145,16599
2017-10-03_0030,17418
2017-10-03_0100,17418
2017-10-03_2230,15867
2017-10-04_0100,17386
2017-10-04_2115,16843
2017-10-05_2130,17499
2017-10-06_2145,17763
2017-10-09_2130,17622
2017-10-11_1600,17576
2017-10-11_2130,17473
2017-10-12_2115,17503
2017-10-13_2130,17579
2017-10-14_0000,17579
2017-10-14_0015,17579
2017-10-16_2130,17749
2017-10-17_2145,17923
2017-10-18_2200,17898
2017-10-19_2130,18168
2017-10-20_2115,18064
2017-10-23_2130,18135
2017-10-24_2115,18019
2017-10-25_2115,18178
2017-10-25_2130,18179
2017-10-26_2115,18342
2017-10-27_2115,18317
2017-10-27_2145,18317
2017-10-30_2130,18392
2017-10-31_2115,18284
